message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,financial_update,Financial notification.,0.98,
msg_091,notify,security,Verification or OTP message.,0.99,
msg_090,notify,deadline,Time-sensitive reminder.,0.96,
msg_048,notify,deadline,Time-sensitive reminder.,0.96,
msg_040,mute,spam,Likely spam.,0.99,
msg_075,notify,travel,Travel update.,0.97,
msg_005,notify,marketplace_transaction,Time-sensitive pickup request for an item held specifically for the user before a 6 PM deadline.,0.95,message_0065
msg_104,notify,travel,Travel update.,0.97,
msg_069,mute,spam,Likely spam.,0.99,
msg_107,notify,security,Verification or OTP message.,0.99,
msg_070,notify,security,Verification or OTP message.,0.99,
msg_003,notify,deadline,Time-sensitive reminder.,0.96,
msg_099,notify,deadline,Time-sensitive reminder.,0.96,
msg_008,digest,feedback_request,"The message is requesting product feedback/review, which falls under non-urgent brand engagement and promotional follow-up.",0.95,
msg_092,notify,financial_update,Financial notification.,0.98,
msg_060,notify,financial_update,Financial notification.,0.98,
msg_004,notify,deadline,Time-sensitive reminder.,0.96,
msg_030,notify,marketplace_transaction,Time-sensitive pickup request for an item held specifically for the user before a 6 PM deadline.,0.95,message_0065
msg_045,notify,travel,Travel update.,0.97,
msg_052,notify,financial_update,Financial notification.,0.98,
msg_009,digest,casual_chat,"Casual group conversation regarding cricket highlights, which is non-urgent and social in nature.",0.9,
msg_071,digest,casual_chat,"The message is a casual, non-urgent group update about tentative doctor or dinner plans with no immediate deadline, action required, or urgent information.",0.85,
msg_016,notify,financial_update,Financial notification.,0.98,
msg_065,digest,promotion,Business promotion.,0.98,
msg_038,notify,deadline,Time-sensitive reminder.,0.96,
msg_086,notify,deadline,Time-sensitive reminder.,0.96,
msg_014,digest,promotion,Business promotion.,0.98,
msg_094,notify,deadline,Time-sensitive reminder.,0.96,
msg_029,mute,spam,Likely spam.,0.99,
msg_105,notify,deadline,Time-sensitive reminder.,0.96,
msg_002,notify,financial_update,Financial notification.,0.98,
msg_010,digest,promotion,"The message is a customer feedback survey request from PVR Cinemas, which is a non-urgent promotional/marketing outreach.",0.95,
msg_078,notify,financial_update,Financial notification.,0.98,
msg_013,notify,financial_update,Financial notification.,0.98,
msg_018,notify,deadline,Time-sensitive reminder.,0.96,
msg_044,notify,security,Verification or OTP message.,0.99,
msg_032,digest,academic_request,"The user is asking for lecture slides in a group chat with explicit mention of 'No rush', making it non-urgent academic communication suitable for a digest.",0.9,
msg_106,notify,deadline,Time-sensitive reminder.,0.96,
msg_006,notify,deadline,Time-sensitive reminder.,0.96,
msg_109,notify,deadline,Time-sensitive reminder.,0.96,
msg_108,notify,deadline,Time-sensitive reminder.,0.96,
msg_019,notify,financial_update,Financial notification.,0.98,
msg_088,notify,deadline,Time-sensitive reminder.,0.96,
msg_056,notify,deadline,Time-sensitive reminder.,0.96,
msg_027,digest,promotion,Business promotion.,0.98,
msg_050,notify,deadline,Time-sensitive reminder.,0.96,
msg_083,notify,deadline,Time-sensitive reminder.,0.96,
msg_063,notify,financial_update,Financial notification.,0.98,
msg_033,digest,personal_checkin,"The message is a casual personal check-in from a family member explicitly marked as non-urgent ('nothing urgent'), suitable for a daily or periodic digest rather than immediate notification.",0.88,
msg_061,notify,deadline,Time-sensitive reminder.,0.96,
msg_020,notify,financial_update,Financial notification.,0.98,
msg_017,notify,deadline,Time-sensitive reminder.,0.96,
msg_058,notify,deadline,Time-sensitive reminder.,0.96,
msg_026,notify,deadline,Time-sensitive reminder.,0.96,
msg_047,notify,deadline,Time-sensitive reminder.,0.96,
msg_046,notify,security,Verification or OTP message.,0.99,
msg_042,notify,travel,Travel update.,0.97,
msg_079,notify,security,Verification or OTP message.,0.99,
msg_098,notify,deadline,Time-sensitive reminder.,0.96,
msg_037,notify,time_sensitive_alert,The message requires immediate real-time action regarding a 10-minute time constraint for water collection.,0.95,
msg_007,digest,community_update,Non-urgent society potluck announcement with a flexible timeframe and no requirement for immediate response.,0.88,
msg_085,notify,security,Verification or OTP message.,0.99,
msg_001,notify,utility_alert,"The message is an urgent, time-sensitive notice requiring immediate action to fill drinking water within 20 minutes before the tanker leaves.",0.95,
msg_021,notify,financial_update,Financial notification.,0.98,
msg_028,digest,promotion,Business promotion.,0.98,
msg_012,mute,spam,Likely spam.,0.99,
msg_064,digest,promotion,The message is a marketing/promotional offer advertising discounted movie tickets at PVR INOX.,0.95,
msg_103,notify,travel,Travel update.,0.97,
msg_031,notify,deadline,Time-sensitive reminder.,0.96,
msg_057,notify,deadline,Time-sensitive reminder.,0.96,
msg_087,digest,promotional,The message is a promotional marketing announcement regarding a new real estate launch by Brigade.,0.95,
msg_067,notify,payment_reminder,"The message mentions a strict payment deadline (5 PM today) for maintenance to avoid a late fee, which falls under payments and deadlines.",0.95,
msg_039,notify,deadline,Time-sensitive reminder.,0.96,
msg_082,notify,incident_alert,The message reports critical checkout errors and failing payments requiring immediate attention on an incident bridge.,0.98,
msg_066,digest,promotion,Business promotion.,0.98,
msg_049,digest,promotion,"The image contains branding for Jio Mart without any urgent transaction, delivery details, or OTP info, indicating it is likely a promotional message.",0.85,
msg_015,notify,security,Verification or OTP message.,0.99,
msg_051,notify,financial_update,Financial notification.,0.98,
msg_097,notify,deadline,Time-sensitive reminder.,0.96,
msg_089,notify,deadline,Time-sensitive reminder.,0.96,
msg_053,notify,financial_update,Financial notification.,0.98,
msg_059,notify,financial_update,Financial notification.,0.98,
msg_024,notify,financial_update,Financial notification.,0.98,
msg_072,notify,security,Verification or OTP message.,0.99,
msg_036,mute,scam,"The message appears to be a phishing attempt impersonating RazorpayX to trick the user into clicking a link for payout verification, especially given it has been forwarded multiple times.",0.95,
msg_076,notify,financial_update,Financial notification.,0.98,
msg_055,notify,urgent_request,The message requires immediate attention and action within a tight 10-minute timeframe.,0.95,
msg_102,notify,urgent operational update,The message requires immediate attention to stay online for 30 minutes during a production rollback.,0.95,
msg_080,notify,travel,Travel update.,0.97,
msg_093,notify,security,Verification or OTP message.,0.99,
msg_034,mute,spam,Likely spam.,0.99,
msg_035,digest,promotions,The message is a promotional/sales outreach offering RazorpayX Global Payouts services.,0.95,
msg_101,notify,personal,"Direct personal communication from family/roommate regarding food, which is time-sensitive and relevant for daily personal coordination.",0.95,
msg_041,notify,deadline,Time-sensitive reminder.,0.96,
msg_011,notify,deadline,Time-sensitive reminder.,0.96,
msg_110,notify,security,Verification or OTP message.,0.99,
msg_095,mute,scam,Phishing attempt asking for a wallet PIN via a suspicious third-party link.,0.98,
msg_074,mute,spam,Likely spam.,0.99,
msg_073,notify,financial_update,Financial notification.,0.98,
msg_054,notify,financial_update,Financial notification.,0.98,
msg_068,digest,social_planning,The message explicitly states there is no urgency ('koi urgency nahi hai') and proposes discussing plans later tonight via a poll.,0.95,
msg_100,notify,deadline,The message specifies an urgent payment worker failure with an impending client escalation deadline in 20 minutes requiring immediate action.,0.95,
msg_062,mute,spam,Likely spam.,0.99,
msg_096,notify,deadline,The message is urgent regarding a found personal document (passport) with a strict deadline to collect it before 6 PM.,0.98,
msg_043,notify,travel,Travel update.,0.97,
msg_077,notify,travel,Travel update.,0.97,
msg_081,notify,deadline,Time-sensitive reminder.,0.96,
msg_025,notify,deadline,Time-sensitive reminder.,0.96,
msg_084,notify,financial_update,Financial notification.,0.98,
msg_022,notify,financial_update,Financial notification.,0.98,
